Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.108,-2.511,-0.235,9.807
0.111,-2.511,-0.235,9.807
0.114,-2.511,-0.275,9.807
0.117,-2.511,-0.275,9.807
0.12,-2.511,-0.275,9.807
0.123,-2.55,-0.353,9.65
0.126,-2.55,-0.353,9.65
0.13,-2.55,-0.353,9.65
0.133,-2.55,-0.431,9.728
0.136,-2.55,-0.431,9.728
0.139,-2.55,-0.431,9.728
0.142,-2.55,-0.431,9.728
0.145,-2.589,-0.51,9.689
0.148,-2.589,-0.51,9.689
0.151,-2.589,-0.51,9.689
0.154,-2.589,-0.431,9.767
0.157,-2.589,-0.431,9.767
0.16,-2.589,-0.431,9.767
0.163,-2.589,-0.392,9.807
0.166,-2.589,-0.392,9.807
0.169,-2.589,-0.392,9.807
0.173,-2.628,-0.314,9.767
0.176,-2.628,-0.314,9.767
0.179,-2.628,-0.314,9.767
0.182,-2.628,-0.314,9.767
0.185,-2.589,-0.353,9.807
0.188,-2.589,-0.353,9.807
0.191,-2.589,-0.353,9.807
0.194,-2.55,-0.471,9.767
0.197,-2.55,-0.471,9.767
0.2,-2.55,-0.471,9.767
0.203,-2.511,-0.51,9.807
0.206,-2.511,-0.51,9.807
0.209,-2.511,-0.51,9.807
0.211,-2.511,-0.51,9.807
0.215,-2.589,-0.51,10.081
0.218,-2.589,-0.51,10.081
0.221,-2.589,-0.51,10.081
0.225,-2.511,-0.51,10.081
0.228,-2.511,-0.51,10.081
0.231,-2.511,-0.51,10.081
0.234,-2.471,-0.588,9.807
0.237,-2.471,-0.588,9.807
0.24,-2.471,-0.588,9.807
0.243,-2.471,-0.863,9.414
0.245,-2.471,-0.863,9.414
0.248,-2.471,-0.863,9.414
0.251,-2.471,-0.863,9.414
0.254,-2.354,-0.981,8.865
0.258,-2.354,-0.981,8.865
0.261,-2.354,-0.981,8.865
0.264,-2.079,-0.745,8.002
0.267,-2.079,-0.745,8.002
0.27,-2.079,-0.745,8.002
0.273,-1.765,-0.51,6.982
0.276,-1.765,-0.51,6.982
0.279,-1.765,-0.51,6.982
0.282,-1.334,0.078,5.806
0.285,-1.334,0.078,5.806
0.288,-1.334,0.078,5.806
0.291,-1.334,0.078,5.806
0.294,-1.138,0.078,4.236
0.297,-1.138,0.078,4.236
0.301,-1.138,0.078,4.236
0.304,-0.549,-0.275,2.589
0.307,-0.549,-0.275,2.589
0.31,-0.549,-0.275,2.589
0.313,-0.353,-0.706,1.648
0.316,-0.353,-0.706,1.648
0.319,-0.353,-0.706,1.648
0.322,-0.235,0.235,1.844
0.325,-0.235,0.235,1.844
0.328,-0.235,0.235,1.844
0.331,-0.235,0.235,1.844
0.334,-0.706,1.098,2.157
0.337,-0.706,1.098,2.157
0.34,-0.706,1.098,2.157
0.343,-0.275,0.667,2.001
0.346,-0.275,0.667,2.001
0.349,-0.275,0.667,2.001
0.352,-0.275,-0.118,0.902
0.355,-0.275,-0.118,0.902
0.358,-0.275,-0.118,0.902
0.361,-0.275,-0.118,0.902
0.364,-0.863,-0.431,1.491
0.367,-0.863,-0.431,1.491
0.37,-0.863,-0.431,1.491
0.373,0.039,0.078,0.981
0.376,0.039,0.078,0.981
0.379,0.039,0.078,0.981
0.382,-1.216,0.745,1.373
0.386,-1.216,0.745,1.373
0.389,-1.216,0.745,1.373
0.392,0.902,1.098,1.373
0.395,0.902,1.098,1.373
0.398,0.902,1.098,1.373
0.401,0.902,1.098,1.373
0.404,-0.078,1.883,2.785
0.406,-0.078,1.883,2.785
0.409,-0.078,1.883,2.785
0.412,0.196,2.824,3.491
0.415,0.196,2.824,3.491
0.418,0.196,2.824,3.491
0.421,0.863,-2.04,3.805
0.424,0.863,-2.04,3.805
0.428,0.863,-2.04,3.805
0.431,0.863,-2.04,3.805
0.434,0.588,-9.728,0.431
0.437,0.588,-9.728,0.431
0.44,0.588,-9.728,0.431
0.443,-0.628,-3.648,-1.373
0.446,-0.628,-3.648,-1.373
0.449,-0.628,-3.648,-1.373
0.452,-1.412,2.471,-1.844
0.455,-1.412,2.471,-1.844
0.458,-1.412,2.471,-1.844
0.461,-1.412,2.471,-1.844
0.464,-2.001,9.571,0.471
0.467,-2.001,9.571,0.471
0.471,-2.001,9.571,0.471
0.474,-5.688,10.866,-0.314
0.477,-5.688,10.866,-0.314
0.48,-5.688,10.866,-0.314
0.483,-2.942,5.099,-1.569
0.486,-2.942,5.099,-1.569
0.489,-2.942,5.099,-1.569
0.492,-1.883,-6.355,-5.296
0.495,-1.883,-6.355,-5.296
0.498,-1.883,-6.355,-5.296
0.501,-1.883,-6.355,-5.296
0.504,2.942,-1.216,-5.099
0.507,2.942,-1.216,-5.099
0.51,2.942,-1.216,-5.099
0.514,1.687,5.609,-0.706
0.517,1.687,5.609,-0.706
0.519,1.687,5.609,-0.706
0.522,-0.392,-0.353,0.275
0.525,-0.392,-0.353,0.275
0.528,-0.392,-0.353,0.275
0.531,1.844,1.726,-0.981
0.534,1.844,1.726,-0.981
0.537,1.844,1.726,-0.981
0.54,1.844,1.726,-0.981
0.543,-4.158,1.138,0.588
0.546,-4.158,1.138,0.588
0.549,-4.158,1.138,0.588
0.552,0.157,10.356,-3.766
0.556,0.157,10.356,-3.766
0.559,0.157,10.356,-3.766
0.562,3.02,3.53,-10.67
0.565,3.02,3.53,-10.67
0.568,3.02,3.53,-10.67
0.571,1.648,-7.061,-9.728
0.574,1.648,-7.061,-9.728
0.577,1.648,-7.061,-9.728
0.58,1.648,-7.061,-9.728
0.583,1.726,-5.923,-8.002
0.586,1.726,-5.923,-8.002
0.589,1.726,-5.923,-8.002
0.592,-0.078,-7.178,-4.433
0.595,-0.078,-7.178,-4.433
0.599,-0.078,-7.178,-4.433
0.602,2.236,-1.334,-1.961
0.605,2.236,-1.334,-1.961
0.608,2.236,-1.334,-1.961
0.611,-2.746,-5.492,0.0
0.614,-2.746,-5.492,0.0
0.617,-2.746,-5.492,0.0
0.62,-2.746,-5.492,0.0
0.623,0.471,-1.255,0.0
0.625,0.471,-1.255,0.0
0.628,0.471,-1.255,0.0
0.631,-0.275,-0.353,1.373
0.634,-0.275,-0.353,1.373
0.637,-0.275,-0.353,1.373
0.641,-0.039,-0.118,0.588
0.644,-0.039,-0.118,0.588
0.647,-0.039,-0.118,0.588
0.65,-0.039,-0.118,0.588
0.653,-0.078,-0.353,0.628
0.656,-0.078,-0.353,0.628
0.659,-0.078,-0.353,0.628
0.662,-1.648,-0.981,1.059
0.665,-1.648,-0.981,1.059
0.668,-1.648,-0.981,1.059
0.671,0.549,1.059,0.157
0.674,0.549,1.059,0.157
0.677,0.549,1.059,0.157
0.68,0.549,1.059,0.157
0.684,-0.157,-0.157,0.824
0.687,-0.157,-0.157,0.824
0.689,-0.157,-0.157,0.824
0.692,-1.177,4.746,1.804
0.695,-1.177,4.746,1.804
0.698,-1.177,4.746,1.804
0.701,-3.452,10.356,1.53
0.704,-3.452,10.356,1.53
0.707,-3.452,10.356,1.53
0.71,-0.471,3.295,0.314
0.713,-0.471,3.295,0.314
0.716,-0.471,3.295,0.314
0.719,-0.471,3.295,0.314
0.722,-7.532,-0.628,14.906
0.726,-7.532,-0.628,14.906
0.729,-7.532,-0.628,14.906
0.732,-22.281,-6.904,116.935
0.735,-22.281,-6.904,116.935
0.739,-22.281,-6.904,116.935
0.742,-72.608,-27.341,158.711
0.745,-72.608,-27.341,158.711
0.748,-72.608,-27.341,158.711
0.751,-32.597,-104.931,75.276
0.754,-32.597,-104.931,75.276
0.758,-32.597,-104.931,75.276
0.761,28.047,-24.164,-52.956
0.764,28.047,-24.164,-52.956
0.768,28.047,-24.164,-52.956
0.771,-15.377,-15.573,62.763
0.774,-15.377,-15.573,62.763
0.777,-15.377,-15.573,62.763
0.78,-1.804,10.199,15.848
0.784,-1.804,10.199,15.848
0.787,-1.804,10.199,15.848
0.79,-1.804,10.199,15.848
0.793,-1.294,11.18,12.592
0.796,-1.294,11.18,12.592
0.799,-1.294,11.18,12.592
0.802,-6.433,13.886,13.337
0.805,-6.433,13.886,13.337
0.808,-6.433,13.886,13.337
0.812,-2.236,14.553,8.708
0.815,-2.236,14.553,8.708
0.818,-2.236,14.553,8.708
0.821,-2.511,7.885,-0.039
0.824,-2.511,7.885,-0.039
0.827,-2.511,7.885,-0.039
0.83,-0.275,1.138,-0.431
0.833,-0.275,1.138,-0.431
0.836,-0.275,1.138,-0.431
0.839,-0.275,1.138,-0.431
0.842,0.157,-2.667,2.628
0.845,0.157,-2.667,2.628
0.848,0.157,-2.667,2.628
0.851,2.04,0.902,-1.883
0.855,2.04,0.902,-1.883
0.858,2.04,0.902,-1.883
0.861,0.235,-0.941,-1.138
0.864,0.235,-0.941,-1.138
0.867,0.235,-0.941,-1.138
0.87,0.235,-0.941,-1.138
0.873,-0.667,-1.491,-0.706
0.876,-0.667,-1.491,-0.706
0.879,-0.667,-1.491,-0.706
0.882,-0.863,-1.177,-0.196
0.885,-0.863,-1.177,-0.196
0.888,-0.863,-1.177,-0.196
0.891,-2.824,-1.53,0.314
0.894,-2.824,-1.53,0.314
0.898,-2.824,-1.53,0.314
0.901,-2.197,-0.078,1.177
0.903,-2.197,-0.078,1.177
0.906,-2.197,-0.078,1.177
0.909,-2.197,-0.078,1.177
0.912,-0.157,-1.255,-1.294
0.915,-0.157,-1.255,-1.294
0.918,-0.157,-1.255,-1.294
0.921,-1.687,1.138,1.961
0.924,-1.687,1.138,1.961
0.927,-1.687,1.138,1.961
0.93,0.667,3.923,1.726
0.933,0.667,3.923,1.726
0.936,0.667,3.923,1.726
0.94,-3.57,-5.649,4.08
0.943,-3.57,-5.649,4.08
0.946,-3.57,-5.649,4.08
0.949,-3.57,-5.649,4.08
0.952,-0.118,-13.455,1.687
0.955,-0.118,-13.455,1.687
0.958,-0.118,-13.455,1.687
0.961,-0.824,-12.356,3.217
0.964,-0.824,-12.356,3.217
0.967,-0.824,-12.356,3.217
0.97,-1.255,-5.139,5.099
0.973,-1.255,-5.139,5.099
0.976,-1.255,-5.139,5.099
0.979,-0.118,-0.431,4.786
0.983,-0.118,-0.431,4.786
0.986,-0.118,-0.431,4.786
0.989,-0.118,-0.431,4.786
0.992,0.588,1.177,3.099
0.995,0.588,1.177,3.099
0.998,0.588,1.177,3.099
1.001,-2.197,2.981,11.14
1.004,-2.197,2.981,11.14
1.007,-2.197,2.981,11.14
1.01,-2.236,8.277,17.574
1.013,-2.236,8.277,17.574
1.016,-2.236,8.277,17.574
1.019,-1.844,6.59,25.183
1.022,-1.844,6.59,25.183
1.026,-1.844,6.59,25.183
1.029,-1.844,6.59,25.183
1.032,-3.923,5.727,31.303
1.035,-3.923,5.727,31.303
1.038,-3.923,5.727,31.303
1.041,-5.256,5.452,28.047
1.044,-5.256,5.452,28.047
1.047,-5.256,5.452,28.047
1.05,-7.296,2.707,24.752
1.053,-7.296,2.707,24.752
1.056,-7.296,2.707,24.752
1.059,-6.433,3.177,19.417
1.062,-6.433,3.177,19.417
1.065,-6.433,3.177,19.417
1.069,-2.864,3.727,12.631
1.072,-2.864,3.727,12.631
1.075,-2.864,3.727,12.631
1.078,-2.864,3.727,12.631
1.081,-0.667,-28.596,1.412
1.084,-0.667,-28.596,1.412
1.088,-0.667,-28.596,1.412
1.091,1.883,-21.535,-3.883
1.094,1.883,-21.535,-3.883
1.097,1.883,-21.535,-3.883
1.1,3.609,-3.334,1.53
1.103,3.609,-3.334,1.53
1.106,3.609,-3.334,1.53
1.11,-1.765,2.471,13.376
1.113,-1.765,2.471,13.376
1.116,-1.765,2.471,13.376
1.119,-1.765,2.471,13.376
1.122,-0.275,7.218,16.593
1.125,-0.275,7.218,16.593
1.128,-0.275,7.218,16.593
1.131,-1.02,7.532,15.338
1.134,-1.02,7.532,15.338
1.137,-1.02,7.532,15.338
1.14,-0.745,6.041,10.905
1.143,-0.745,6.041,10.905
1.146,-0.745,6.041,10.905
1.149,-0.392,2.511,7.453
1.153,-0.392,2.511,7.453
1.156,-0.392,2.511,7.453
1.159,-0.078,0.745,5.766
1.162,-0.078,0.745,5.766
1.165,-0.078,0.745,5.766
1.168,-0.078,0.745,5.766
1.171,-0.392,-2.824,6.825
1.174,-0.392,-2.824,6.825
1.177,-0.392,-2.824,6.825
1.18,-0.667,-2.55,8.669
1.183,-0.667,-2.55,8.669
1.186,-0.667,-2.55,8.669
1.189,-1.059,-2.628,11.062
1.192,-1.059,-2.628,11.062
1.196,-1.059,-2.628,11.062
1.199,-1.059,-2.628,11.062
1.202,-0.392,-3.53,11.69
1.205,-0.392,-3.53,11.69
1.208,-0.392,-3.53,11.69
1.211,-0.667,-4.629,11.101
1.214,-0.667,-4.629,11.101
1.217,-0.667,-4.629,11.101
1.22,-0.471,-2.667,10.317
1.223,-0.471,-2.667,10.317
1.226,-0.471,-2.667,10.317
1.229,-0.981,-0.471,9.846
1.232,-0.981,-0.471,9.846
1.235,-0.981,-0.471,9.846
1.239,-0.824,0.392,8.748
1.242,-0.824,0.392,8.748
1.245,-0.824,0.392,8.748
1.248,-0.824,0.392,8.748
1.251,-0.628,0.314,7.728
1.254,-0.628,0.314,7.728
1.257,-0.628,0.314,7.728
1.26,-0.628,-0.628,8.238
1.263,-0.628,-0.628,8.238
1.266,-0.628,-0.628,8.238
1.269,-0.196,-0.588,9.336
1.271,-0.196,-0.588,9.336
1.274,-0.196,-0.588,9.336
1.277,-0.196,-0.588,9.336
1.281,-0.392,-1.451,10.63
1.284,-0.392,-1.451,10.63
1.287,-0.392,-1.451,10.63
1.29,-0.039,-0.863,11.336
1.293,-0.039,-0.863,11.336
1.296,-0.039,-0.863,11.336
1.299,-0.039,-0.51,11.14
1.302,-0.039,-0.51,11.14
1.305,-0.039,-0.51,11.14
1.308,-0.275,-0.549,10.513
1.312,-0.275,-0.549,10.513
1.315,-0.275,-0.549,10.513
1.318,-0.314,-0.706,9.846
1.321,-0.314,-0.706,9.846
1.325,-0.314,-0.706,9.846
1.327,-0.314,-0.706,9.846
1.33,-0.392,-0.353,10.042
1.333,-0.392,-0.353,10.042
1.336,-0.392,-0.353,10.042
1.339,-0.628,0.039,10.63
1.342,-0.628,0.039,10.63
1.345,-0.628,0.039,10.63
1.348,-0.667,-0.275,10.513
1.351,-0.667,-0.275,10.513
1.355,-0.667,-0.275,10.513
1.358,-0.549,-1.255,10.081
1.361,-0.549,-1.255,10.081
1.364,-0.549,-1.255,10.081
1.368,-0.549,-1.255,10.081
1.371,-0.51,-1.648,9.807
1.374,-0.51,-1.648,9.807
