Group: 1 Trial 1,Group: 2 Trial 1,Group: 3 Trial 1,Group: 4 Trial 1,Group: 5 Trial 1,Group: 6 Trial 1,Group: 7 Trial 1,Group: 8 Trial 1,Group: 9 Trial 1,Group: 10 Trial 1,Group: 11 Trial 1,Group: 12 Trial 1,Group: 13 Trial 1,Group: 14 Trial 1,Group: 1 Trial 2,Group: 2 Trial 2,Group: 3 Trial 2,Group: 4 Trial 2,Group: 5 Trial 2,Group: 6 Trial 2,Group: 7 Trial 2,Group: 8 Trial 2,Group: 9 Trial 2,Group: 10 Trial 2,Group: 11 Trial 2,Group: 12 Trial 2,Group: 13 Trial 2,Group: 14 Trial 2
1398.0,1442.0,1332.0,1346.0,1368.0,1442.0,1444.0,1460.0,1418.0,1426.0,0.0,0.0,0.0,0.0,1386.0,1440.0,1102.0,1372.0,1468.0,1470.0,1422.0,1420.0,1426.0,1404.0,0.0,0.0,0.0,0.0
1399.0,1443.0,1333.0,1347.0,1369.0,1443.0,1445.0,1461.0,1419.0,1427.0,0.0,0.0,0.0,0.0,1387.0,1441.0,1103.0,1373.0,1469.0,1471.0,1423.0,1421.0,1427.0,1405.0,0.0,0.0,0.0,0.0
1398.0,1442.0,1332.0,1346.0,1368.0,1442.0,1444.0,1460.0,1418.0,1426.0,0.0,0.0,0.0,0.0,1386.0,1440.0,1102.0,1372.0,1468.0,1470.0,1422.0,1420.0,1426.0,1404.0,0.0,0.0,0.0,0.0
1399.0,1443.0,1333.0,1347.0,1369.0,1443.0,1445.0,1461.0,1419.0,1427.0,0.0,0.0,0.0,0.0,1387.0,1441.0,1103.0,1373.0,1469.0,1471.0,1423.0,1421.0,1427.0,1405.0,0.0,0.0,0.0,0.0
1480.0,1510.0,1410.0,1438.0,1434.0,1502.0,1508.0,1544.0,1498.0,1510.0,0.0,0.0,0.0,0.0,1472.0,1508.0,1222.0,1452.0,1528.0,1546.0,1476.0,1488.0,1496.0,1482.0,0.0,0.0,0.0,0.0
1481.0,1511.0,1411.0,1439.0,1435.0,1503.0,1509.0,1545.0,1499.0,1511.0,0.0,0.0,0.0,0.0,1473.0,1509.0,1223.0,1453.0,1529.0,1547.0,1477.0,1489.0,1497.0,1483.0,0.0,0.0,0.0,0.0
1480.0,1510.0,1410.0,1438.0,1434.0,1502.0,1508.0,1544.0,1498.0,1510.0,0.0,0.0,0.0,0.0,1472.0,1508.0,1222.0,1452.0,1528.0,1546.0,1476.0,1488.0,1496.0,1482.0,0.0,0.0,0.0,0.0
1509.0,1565.0,1471.0,1493.0,1493.0,1559.0,1549.0,1585.0,1557.0,1553.0,0.0,0.0,0.0,0.0,1535.0,1549.0,1223.0,1513.0,1597.0,1571.0,1523.0,1541.0,1553.0,1531.0,0.0,0.0,0.0,0.0
1508.0,1564.0,1470.0,1492.0,1492.0,1558.0,1548.0,1584.0,1556.0,1552.0,0.0,0.0,0.0,0.0,1534.0,1548.0,1326.0,1512.0,1596.0,1570.0,1522.0,1540.0,1552.0,1530.0,0.0,0.0,0.0,0.0
1509.0,1565.0,1471.0,1493.0,1493.0,1559.0,1549.0,1585.0,1557.0,1553.0,0.0,0.0,0.0,0.0,1535.0,1549.0,1327.0,1513.0,1597.0,1571.0,1523.0,1541.0,1553.0,1531.0,0.0,0.0,0.0,0.0
1508.0,1564.0,1470.0,1492.0,1530.0,1558.0,1548.0,1584.0,1556.0,1552.0,0.0,0.0,0.0,0.0,1534.0,1548.0,1326.0,1512.0,1596.0,1570.0,1522.0,1540.0,1552.0,1530.0,0.0,0.0,0.0,0.0
1553.0,1607.0,1493.0,1501.0,1531.0,1581.0,1571.0,1619.0,1579.0,1575.0,0.0,0.0,0.0,0.0,1559.0,1585.0,1443.0,1545.0,1635.0,1605.0,1549.0,1579.0,1593.0,1567.0,0.0,0.0,0.0,0.0
1552.0,1606.0,1492.0,1500.0,1530.0,1580.0,1570.0,1618.0,1578.0,1574.0,0.0,0.0,0.0,0.0,1558.0,1584.0,1442.0,1544.0,1634.0,1604.0,1548.0,1578.0,1592.0,1566.0,0.0,0.0,0.0,0.0
1553.0,1607.0,1493.0,1501.0,1531.0,1581.0,1571.0,1619.0,1579.0,1575.0,0.0,0.0,0.0,0.0,1559.0,1585.0,1443.0,1545.0,1635.0,1605.0,1549.0,1579.0,1593.0,1567.0,0.0,0.0,0.0,0.0
1552.0,1606.0,1492.0,1500.0,1562.0,1580.0,1570.0,1618.0,1578.0,1574.0,0.0,0.0,0.0,0.0,1558.0,1584.0,1442.0,1544.0,1634.0,1604.0,1548.0,1578.0,1592.0,1566.0,0.0,0.0,0.0,0.0
1563.0,1611.0,1517.0,1501.0,1563.0,1601.0,1603.0,1627.0,1587.0,1593.0,0.0,0.0,0.0,0.0,1567.0,1615.0,1531.0,1565.0,1629.0,1643.0,1567.0,1607.0,1623.0,1585.0,0.0,0.0,0.0,0.0
1562.0,1610.0,1516.0,1500.0,1562.0,1600.0,1602.0,1626.0,1586.0,1592.0,0.0,0.0,0.0,0.0,1566.0,1614.0,1530.0,1564.0,1628.0,1642.0,1566.0,1606.0,1622.0,1584.0,0.0,0.0,0.0,0.0
1563.0,1611.0,1517.0,1501.0,1563.0,1601.0,1603.0,1627.0,1587.0,1593.0,0.0,0.0,0.0,0.0,1567.0,1615.0,1531.0,1565.0,1629.0,1643.0,1567.0,1607.0,1623.0,1585.0,0.0,0.0,0.0,0.0
1586.0,1634.0,1540.0,1516.0,1562.0,1628.0,1620.0,1640.0,1600.0,1604.0,0.0,0.0,0.0,0.0,1570.0,1616.0,1588.0,1588.0,1636.0,1642.0,1578.0,1632.0,1620.0,1592.0,0.0,0.0,0.0,0.0
1587.0,1635.0,1541.0,1517.0,1563.0,1629.0,1621.0,1641.0,1601.0,1605.0,0.0,0.0,0.0,0.0,1571.0,1617.0,1589.0,1589.0,1637.0,1643.0,1579.0,1633.0,1621.0,1593.0,0.0,0.0,0.0,0.0
1586.0,1634.0,1540.0,1516.0,1562.0,1628.0,1620.0,1640.0,1600.0,1604.0,0.0,0.0,0.0,0.0,1570.0,1616.0,1588.0,1588.0,1636.0,1642.0,1578.0,1632.0,1620.0,1592.0,0.0,0.0,0.0,0.0
